Tiempo en segundos: 0.7756948471
Posiciones finales de los cuerpos:
Cuerpo 0: px=0.000000, py=-0.000000, pz=0.000000
Cuerpo 1: px=-0.180257, py=1.388427, pz=0.005178
Cuerpo 2: px=-0.421396, py=3.626594, pz=1.124759
Cuerpo 3: px=-0.773104, py=3.221591, pz=1.504517
Cuerpo 4: px=-0.488286, py=0.462864, pz=-0.045662
Cuerpo 5: px=-0.959094, py=-1.152864, pz=-0.278792
Cuerpo 6: px=2.048824, py=4.552572, pz=0.363548
Cuerpo 7: px=-0.931157, py=0.515315, pz=0.417244
Cuerpo 8: px=0.710465, py=-0.137721, pz=0.298593
Cuerpo 9: px=-0.991831, py=0.943453, pz=0.087908
Cuerpo 10: px=-182.785980, py=107.260681, pz=75.514740
Cuerpo 11: px=-14.860090, py=0.503563, pz=9.547319
Cuerpo 12: px=5.071362, py=-2.692510, pz=-0.784296
Cuerpo 13: px=-1.510345, py=0.650389, pz=0.332687
Cuerpo 14: px=-4.795652, py=4.896238, pz=-2.863876
Cuerpo 15: px=-8.217762, py=7.064589, pz=-3.279969
Cuerpo 16: px=-0.946466, py=-0.217399, pz=0.216156
Cuerpo 17: px=-0.574125, py=1.258936, pz=-0.395338
Cuerpo 18: px=-0.470045, py=2.682600, pz=-1.080038
Cuerpo 19: px=-0.382324, py=3.242884, pz=-0.870346
Cuerpo 20: px=-0.424111, py=4.456104, pz=-0.937680
Cuerpo 21: px=-0.496844, py=5.370181, pz=-0.709236
Cuerpo 22: px=-0.523032, py=3.770571, pz=0.158425
Cuerpo 23: px=-2.265732, py=4.796682, pz=1.642604
Cuerpo 24: px=-1.004040, py=2.920839, pz=0.745279
Cuerpo 25: px=-1.101488, py=3.253566, pz=0.986356
Cuerpo 26: px=-1.307563, py=3.033262, pz=1.092106
Cuerpo 27: px=-1.093685, py=-1.479457, pz=-0.636837
Cuerpo 28: px=-12.814876, py=11.962789, pz=5.205863
Cuerpo 29: px=-0.816582, py=-1.464268, pz=-0.498014
Cuerpo 30: px=0.081051, py=1.212407, pz=0.138127
Cuerpo 31: px=-12.008770, py=2.011628, pz=-1.872805
Cuerpo 32: px=-2.769879, py=0.446427, pz=-0.480531
Cuerpo 33: px=-29.128662, py=47.018890, pz=10.595825
Cuerpo 34: px=-0.007829, py=-0.259004, pz=0.018709
Cuerpo 35: px=-15.794989, py=-0.161483, pz=3.450307
Cuerpo 36: px=-1.913909, py=2.319909, pz=-0.081587
Cuerpo 37: px=-2.498614, py=4.002707, pz=-0.441523
Cuerpo 38: px=-0.457347, py=-12.580080, pz=5.385423
Cuerpo 39: px=-1.246022, py=-1.545039, pz=0.258005
Cuerpo 40: px=-0.564343, py=-0.188103, pz=0.107713
Cuerpo 41: px=-1.438061, py=3.615223, pz=-1.096548
Cuerpo 42: px=-1.140482, py=3.400166, pz=-0.774897
Cuerpo 43: px=-1.182769, py=3.617141, pz=-0.827004
Cuerpo 44: px=-0.877158, py=2.065948, pz=-0.623049
Cuerpo 45: px=-1.803866, py=3.606376, pz=-0.011948
Cuerpo 46: px=-1.891081, py=3.495073, pz=0.885299
Cuerpo 47: px=-2.253814, py=3.300810, pz=1.118693
Cuerpo 48: px=-2.289986, py=3.539278, pz=0.807275
